Год,Месяц,Скорость груженым,"Тонн ГМ на единицу оборудования в год, т",Средний грузооборот на единицу АС,"Средняя загрузка АС, т",Модель оборудования,Имя оборудования,Id Equip
2024,Апрель 2024,14.88,1952969,864190.21,186,NHL NTE200,NHL NTE200_45,1417
2024,Апрель 2024,14.32,2052541,821819.47,186,NHL NTE200,NHL NTE200_46,1418
2024,Апрель 2024,14.5,1973336,836537.96,186,NHL NTE200,NHL NTE200_47,1419
2024,Апрель 2024,14.41,1991440,821819.71,186,NHL NTE200,NHL NTE200_48,1420
2024,Апрель 2024,,737738,267400.83,186,NHL NTE200,NHL NTE200_49,1445
2024,Апрель 2024,,742264,287872.7,186,NHL NTE200,NHL NTE200_50,1446
2024,Апрель 2024,,830521,428927.84,186,NHL NTE200,NHL NTE200_51,1447
2024,Апрель 2024,,604221,363134.14,186,NHL NTE200,NHL NTE200_52,1448
2024,Апрель 2024,21.58,850888,390209.1,186,NHL NTE200,NHL NTE200_53,1449
2024,Апрель 2024,,866086.42,353751.74,186,NHL NTE200,NHL NTE200_54,1450
2024,Апрель 2024,,847828.17,340338.42,186,NHL NTE200,NHL NTE200_55,1481
2024,Апрель 2024,,2593746.15,742238.66,186,NHL NTE200,NHL NTE200_56,1490
2024,Апрель 2024,,2498003.85,537342.84,,NHL NTE200,NHL NTE200_57,1491
2024,Апрель 2024,,4601433.33,979035.8,,NHL NTE200,NHL NTE200_58,1496
2024,Апрель 2024,,1719880,321780,186,NHL NTE200,NHL NTE200_59,1497
2024,Май 2024,14.78,2582492.74,849026.66,185.4057480980558,KOMATSU 730-E,730E_13,501
2024,Май 2024,14.85,2399557.1,884593.01,187.48666053357866,KOMATSU 730-E,730E_14,502
2024,Май 2024,15.17,2562924.03,863202.23,184.46864406779662,KOMATSU 730-E,730E_15,503
2024,Май 2024,14.58,2535066.29,867963.57,184.81287553648068,KOMATSU 730-E,730E_16,504
2024,Май 2024,15.36,675238.23,709583.87,164.79597701149424,KOMATSU 730-E,730E_18,506
2024,Май 2024,14.99,2187468.55,862122.99,183.5820158102767,KOMATSU 730-E,730E_19,507
2024,Май 2024,14.58,2420974.35,866588.04,184.7412398921833,KOMATSU 730-E,730E_20,508
2024,Май 2024,14.4,2471332.58,854315.73,184.2791922739245,KOMATSU 730-E,730E_21,509
2024,Май 2024,15.2,2478762.1,878846.77,184.9956063268893,KOMATSU 730-E,730E_22,510
2024,Май 2024,14.41,2462690.32,848595.41,182.99212598425197,KOMATSU 730-E,730E_23,511
2024,Май 2024,14.3,2197252.9,875954.96,185.87250996015936,KOMATSU 730-E,730E_24,512
2024,Май 2024,15.17,2648887.42,892898.06,186.23675496688742,KOMATSU 730-E,730E_25,513
2024,Май 2024,14.01,2342723.06,829261.84,185.95420560747664,KOMATSU 730-E,730E_26,514
2024,Май 2024,14.12,2512648.23,854879.72,184.92461005199306,KOMATSU 730-E,730E_27,515
2024,Май 2024,14.2,2503935.32,864261.28,186.38299737072742,KOMATSU 730-E,730E_28,516
2024,Май 2024,14.31,2480775.48,864595.5,185.30870712401057,KOMATSU 730-E,730E_29,517
2024,Май 2024,14.82,2597186.94,825503.55,177.60305958132045,KOMATSU 730-E,730E_37,864
2024,Май 2024,15.36,2516851.61,929723.62,193.09846431797652,KOMATSU 730-E,730E_38,865
2024,Май 2024,15.16,2336906.61,851257.64,178.48064806480647,KOMATSU 730-E,730E_39,866
2024,Май 2024,14.78,2521702.58,861889.75,187.21328671328672,KOMATSU 730-E,730E_40,867
2024,Май 2024,15.07,2465881.13,866526.04,186.65864527629233,KOMATSU 730-E,730E_41,868
2024,Май 2024,14.47,2341427.9,868757.13,185.8514018691589,NHL NTE200,NHL NTE200_43,1415
2024,Май 2024,14.76,2388080.79,851997.77,184.88906107566098,NHL NTE200,NHL NTE200_44,1416
2024,Май 2024,15.29,2486259.9,899170.17,186.0456387665198,NHL NTE200,NHL NTE200_45,1417
2024,Май 2024,14,2484942.37,809417.54,185.94704845814974,NHL NTE200,NHL NTE200_46,1418
2024,Май 2024,14.34,2498790,868400.56,186,NHL NTE200,NHL NTE200_47,1419
2024,Май 2024,14.52,2452800,864455.42,186,NHL NTE200,NHL NTE200_48,1420
2024,Май 2024,15.81,1929390,718110.22,186,NHL NTE200,NHL NTE200_49,1445
2024,Май 2024,14.87,1911272.73,618226.21,186,NHL NTE200,NHL NTE200_50,1446
2024,Май 2024,14.74,1824247.42,581410,186,NHL NTE200,NHL NTE200_51,1447
2024,Май 2024,14.54,1787298.55,558309.33,185.29065743944636,NHL NTE200,NHL NTE200_52,1448
2024,Май 2024,15.01,1781350.52,536513.16,186,NHL NTE200,NHL NTE200_53,1449
2024,Май 2024,14.87,1564335.13,444878.05,180.9258760107817,NHL NTE200,NHL NTE200_54,1450
2024,Май 2024,13.66,1551501.1,203218.88,177.23924050632917,NHL NTE200,NHL NTE200_55,1481
2024,Май 2024,,1603080,203143.72,186,NHL NTE200,NHL NTE200_56,1490
2024,Май 2024,,1789230,241748.8,186,NHL NTE200,NHL NTE200_57,1491
2024,Май 2024,,1528620,248415.96,186,NHL NTE200,NHL NTE200_58,1496
2024,Май 2024,,1559280,263568.49,186,NHL NTE200,NHL NTE200_59,1497
2024,Май 2024,,1453363.64,237632.48,186,NHL NTE200,NHL NTE200_60,1498
2024,Май 2024,,2120696.2,312505.94,186,NHL NTE200,NHL NTE200_61,1499
2024,Июнь 2024,15.55,2764412.67,841558.4,186.23934426229508,KOMATSU 730-E,730E_13,501
2024,Июнь 2024,15.63,3080478.33,816316.94,186.58069270449522,KOMATSU 730-E,730E_14,502
2024,Июнь 2024,16.04,2825319,855728.39,185.03426294820716,KOMATSU 730-E,730E_15,503
2024,Июнь 2024,15.6,2826280.17,847864.16,184.9498407643312,KOMATSU 730-E,730E_16,504
2024,Июнь 2024,15.26,2763500.17,852030.51,186.48357963875205,KOMATSU 730-E,730E_18,506
2024,Июнь 2024,15.55,2783550.83,857136.63,184.5040322580645,KOMATSU 730-E,730E_19,507
2024,Июнь 2024,15.07,2904584.83,818904.57,185.4957264957265,KOMATSU 730-E,730E_20,508
2024,Июнь 2024,15.68,2846878.33,848317.4,185.2652414885194,KOMATSU 730-E,730E_21,509
2024,Июнь 2024,15.81,2879947.33,854505.71,186.23760818253345,KOMATSU 730-E,730E_22,510
2024,Июнь 2024,15.03,2973679.33,808432.56,185.73006134969324,KOMATSU 730-E,730E_23,511
2024,Июнь 2024,14.8,2615358.83,871509.25,186.1134199134199,KOMATSU 730-E,730E_24,512
2024,Июнь 2024,15.57,2768658.83,854115.5,185.6125611745514,KOMATSU 730-E,730E_25,513
2024,Июнь 2024,14.62,2476318.17,807562.54,186.8989898989899,KOMATSU 730-E,730E_26,514
2024,Июнь 2024,15.06,2749459.83,829516.9,184.92880523731588,KOMATSU 730-E,730E_27,515
2024,Июнь 2024,14.92,2897516,832959.24,186.2017200938233,KOMATSU 730-E,730E_28,516
2024,Июнь 2024,14.99,2547006.5,837863.95,185.91740674955594,KOMATSU 730-E,730E_29,517
2024,Июнь 2024,16.12,2755969,825484.6,179.34916864608076,KOMATSU 730-E,730E_37,864
2024,Июнь 2024,15.91,2582472.33,892729.74,191.7416440831075,KOMATSU 730-E,730E_38,865
